timestamp,热总能量计累计热量,总冷累计能量（kWh）
2018-01-01T21:13:20Z,15106.45,2726.25
2018-01-01T21:15:00Z,15106.53,2726.25
2018-01-01T21:18:20Z,15106.61,2726.25
2018-01-01T21:20:00Z,15106.705,2726.25
2018-01-01T21:23:20Z,15106.8,2726.25
2018-01-01T21:25:00Z,15106.88,2726.25
2018-01-01T21:28:20Z,15106.96,2726.25
2018-01-01T21:30:00Z,15107.06,2726.25
2018-01-01T21:33:20Z,15107.16,2726.25
2018-01-01T21:35:00Z,15107.23,2726.25
2018-01-01T21:38:20Z,15107.3,2726.25
2018-01-01T21:40:00Z,15107.4,2726.25
2018-01-01T21:43:20Z,15107.5,2726.25
2018-01-01T21:45:00Z,15107.575,2726.25
2018-01-01T21:48:20Z,15107.65,2726.25
2018-01-01T21:50:00Z,15107.73,2726.25
2018-01-01T21:53:20Z,15107.81,2726.25
2018-01-01T21:55:00Z,15107.9,2726.25
2018-01-01T21:58:20Z,15107.99,2726.25
2018-01-01T22:00:00Z,15108.075,2726.25
2018-01-01T22:03:20Z,15108.16,2726.25
2018-01-01T22:05:00Z,15108.225,2726.25
2018-01-01T22:08:20Z,15108.29,2726.25
2018-01-01T22:10:00Z,15108.36,2726.25
2018-01-01T22:13:20Z,15108.43,2726.25
2018-01-01T22:15:00Z,15108.5,2726.25
2018-01-01T22:18:20Z,15108.57,2726.25
2018-01-01T22:20:00Z,15108.65,2726.25
2018-01-01T22:23:20Z,15108.73,2726.25
2018-01-01T22:25:00Z,15108.795,2726.25
2018-01-01T22:28:20Z,15108.86,2726.25
2018-01-01T22:30:00Z,15108.93,2726.25
2018-01-01T22:33:20Z,15109.0,2726.25
2018-01-01T22:35:00Z,15109.07,2726.25
2018-01-01T22:38:20Z,15109.14,2726.25
2018-01-01T22:40:00Z,15109.21,2726.25
2018-01-01T22:43:20Z,15109.28,2726.25
